Year of Film Release,Film,Producer(s)
2010(83rd)
The King's Speech,"Iain Canning, Emile Sherman, and Gareth Unwin"
127 Hours,"Danny Boyle, John Smithson, and Christian Colson"
Black Swan,"Scott Franklin, Mike Medavoy, and Brian Oliver"
The Fighter,"David Hoberman, Todd Lieberman, and Mark Wahlberg"
Inception,Christopher Nolan and Emma Thomas
The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray"
The Social Network,"Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin"
Toy Story 3,Darla K. Anderson
True Grit,"Joel Coen, Ethan Coen, and Scott Rudin"
Winter's Bone,Alix Madigan and Anne Rosellini
2011(84th)
The Artist,Thomas Langmann
The Descendants,"Jim Burke, Alexander Payne, and Jim Taylor"
Extremely Loud & Incredibly Close,Scott Rudin
The Help,"Brunson Green, Chris Columbus, and Michael Barnathan"
Hugo,Graham King and Martin Scorsese
Midnight in Paris,Letty Aronson and Stephen Tenenbaum
Moneyball,"Michael De Luca, Rachael Horovitz, and Brad Pitt"
The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill"
War Horse,Steven Spielberg and Kathleen Kennedy
2012(85th)
Argo,"Grant Heslov, Ben Affleck, and George Clooney"
Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz"
Beasts of the Southern Wild,"Dan Janvey, Josh Penn, and Michael Gottwald"
Django Unchained,"Stacey Sher, Reginald Hudlin, and Pilar Savone"
Life of Pi,"Gil Netter, Ang Lee, and David Womark"
Lincoln,Steven Spielberg and Kathleen Kennedy
Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward, and Cameron Mackintosh"
Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen, and Jonathan Gordon"
Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, and Megan Ellison"
2013(86th)
12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas"
American Hustle,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon"
Captain Phillips,"Scott Rudin, Dana Brunetti, and Michael De Luca"
Dallas Buyers Club,Robbie Brenner and Rachel Winter
Gravity,Alfonso Cuarón and David Heyman
Her,"Megan Ellison, Spike Jonze, and Vincent Landay"
Nebraska,Albert Berger and Ron Yerxa
Philomena,"Gabrielle Tana, Steve Coogan, and Tracey Seaward"
The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff"
2014(87th)
Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole"
American Sniper,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan"
Boyhood,Richard Linklater and Cathleen Sutherland
The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven M. Rales, and Jeremy Dawson"
The Imitation Game,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman"
Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner"
The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten"
Whiplash,"Jason Blum, Helen Estabrook, and David Lancaster"
2015(88th)
Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar"
The Big Short,"Dede Gardner, Jeremy Kleiner, and Brad Pitt"
Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger"
Brooklyn,Finola Dwyer and Amanda Posey
Mad Max: Fury Road,Doug Mitchell and George Miller
The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam"
The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon"
Room,Ed Guiney
2016(89th)
Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner"
Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde"
Fences,"Scott Rudin, Denzel Washington, and Todd Black"
Hacksaw Ridge,Bill Mechanic and David Permut
Hell or High Water,Carla Hacken and Julie Yorn
Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi"
La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt"
Lion,"Emile Sherman, Iain Canning, and Angie Fielder"
Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh"
2017(90th)
The Shape of Water,Guillermo del Toro and J. Miles Dale
Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito"
Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski"
Dunkirk,Emma Thomas and Christopher Nolan
Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele"
Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill"
Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi"
The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger"
"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Pete Czernin, and Martin McDonagh"
2018(91st)
Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga"
Black Panther,Kevin Feige
BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee"
Bohemian Rhapsody,Graham King
The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos"
Roma,Gabriela Rodríguez and Alfonso Cuarón
A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor"
Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick"
2019(92nd)
Parasite,Kwak Sin-ae and Bong Joon-ho
Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold"
The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff"
Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley"
Joker,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff"
Little Women,Amy Pascal
Marriage Story,Noah Baumbach and David Heyman
1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall"
Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino"
